Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated,Website URL,WC Grade,WC CO2 per Visit,Sustainable Energy,Monthly traffic in K,
282,Pacific Life,,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,30,yes,no,no,no,no,no,4181,,14802,10.8,875,14.7,217386,Darryl D. Button,U.S.,Newport Beach,California,https://www.pacificlife.com,Private,"A mutual company, not a stock company. It is grouped with stock companies because it reports according to Generally Accepted Accounting Principles.",,45447,www.pacificlife.com,C,0.45,bog standard energy,328.907,
283,Vistra,VST,Energy,Energy,yes,no,no,no,21,yes,no,no,no,no,no,4870,24230.2,14779,7.7,1493,,32966,James A. Burke,U.S.,Irving,Texas,https://www.vistracorp.com,Public,"Market value as of March 28, 2024.",24230,45447,www.vistracorp.com,B,0.26,sustainable energy,58.004,
284,Western & Southern Financial Group,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,30,yes,no,no,no,no,no,2669,,14775.1,12.3,484.8,56.8,75968.9,John F. Barrett,U.S.,Cincinnati,Ohio,https://www.westernsouthern.com,Private,"Market value as of March 31, 2021.",,45447,www.westernsouthern.com,B,0.32,bog standard energy,199.856,
285,Andersons,ANDE,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,-46,no,yes,no,no,no,no,2297,1953.4,14750.1,-15,101.2,-22.8,3855,Patrick E. Bowe,U.S.,Maumee,Ohio,https://www.andersonsinc.com,Public,"Market value as of March 28, 2024.",1953,45447,www.andersonsinc.com,F,3.26,sustainable energy,12.621,
286,Nordstrom,JWN,Retailing,General Merchandisers,yes,no,no,no,-19,no,yes,no,no,yes,no,54000,3309.2,14693,-5.4,134,-45.3,8444,Erik B. Nordstrom,U.S.,Seattle,Washington,https://www.nordstrom.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",3309,45447,www.nordstrom.com,A+,0.06,sustainable energy,43240,
287,Omnicom Group,OMC,Business Services,"Advertising, marketing",yes,no,no,yes,3,yes,no,no,no,no,no,75900,19081.1,14692.2,2.8,1391.4,5.7,28044.6,John D. Wren,U.S.,New York,New York,https://www.omnicomgroup.com,Public,"Market value as of March 28, 2024.",19081,45447,www.omnicomgroup.com,F,1.21,bog standard energy,231.888,
288,Fidelity National Information Services,FIS,Business Services,Financial Data Services,no,no,yes,no,-5,no,yes,no,no,no,no,60000,42762.2,14680,1,-6654,,55105,Stephanie L. Ferris,U.S.,Jacksonville,Florida,https://www.fisglobal.com,Public,"Includes revenues from discontinued operations. Market value as of March 28, 2024.",42762,45447,www.fisglobal.com,F,4.75,sustainable energy,8260,
289,Consolidated Edison,ED,Energy,Utilities: Gas and Electric,yes,no,no,yes,-25,no,yes,no,no,no,no,14592,31375.8,14663,-6.4,2519,51.7,66331,Timothy P. Cawley,U.S.,New York,New York,https://www.conedison.com,Public,"Market value as of March 28, 2024.",31376,45447,www.conedison.com,C,0.4,bog standard energy,45.64,
290,CSX,CSX,Transportation,Railroads,yes,no,no,yes,-11,no,yes,no,no,yes,no,23232,72568,14657,-1.3,3715,-10.8,42408,Joseph R. Hinrichs,U.S.,Jacksonville,Florida,https://www.csx.com,Public,"Market value as of March 28, 2024.",72568,45447,www.csx.com,F,1.42,bog standard energy,885.579,
291,AECOM,ACM,Engineering & Construction,Engineering & Construction,yes,no,no,yes,19,yes,no,no,no,yes,no,52000,13341.2,14591.3,8.1,55.3,-82.2,11233.4,W. Troy Rudd,U.S.,Dallas,Texas,https://www.aecom.com,Public,"Includes revenues from discontinued operations. Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",13341,45447,www.aecom.com,F,1.13,bog standard energy,488.724,
