Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated,Website URL,WC Grade,WC CO2 per Visit,Sustainable Energy,Monthly traffic in K,
389,Hilton Worldwide Holdings,HLT,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,42,yes,no,no,no,yes,yes,178000,53788.4,10235,16.7,1141,-9.1,15401,Christopher J. Nassetta,U.S.,McLean,Virginia,https://www.hilton.com,Public,"Market value as of March 28, 2024.",53788,45447,www.hilton.com,F,1.13,sustainable energy,46730,
390,Ebay,EBAY,Technology,Internet Services and Retailing,yes,no,no,yes,3,yes,no,no,no,no,no,12300,27340,10112,3.2,2767,,21620,Jamie Iannone,U.S.,San Jose,California,https://www.ebay.com,Public,"Market value as of March 28, 2024.",27340,45447,www.ebay.com,E,0.66,sustainable energy,609800,
391,Arthur J. Gallagher,AJG,Financials,Diversified Financials,yes,no,no,yes,52,yes,no,no,no,no,no,52118,54584.4,10071.9,17.8,969.5,-13,51615.8,J. Patrick Gallagher Jr.,U.S.,Rolling Meadows,Illinois,https://www.ajg.com,Public,"Market value as of March 28, 2024.",54584,45447,www.ajg.com,B,0.27,bog standard energy,585.402,
392,LPL Financial Holdings,LPLA,Financials,Securities,yes,no,no,yes,48,yes,no,no,no,no,no,7372,19735.9,10052.8,16.9,1066.3,26.1,10385.5,Dan H. Arnold,U.S.,San Diego,California,https://www.lpl.com,Public,"Market value as of March 28, 2024.",19736,45447,www.lpl.com,F,0.88,sustainable energy,3542,
393,Cincinnati Financial,CINF,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,141,yes,no,yes,no,no,no,5426,19456.1,10013.4,52.7,1843.3,,32769.5,Stephen M. Spray,U.S.,Fairfield,Ohio,https://www.cinfin.com,Public,"Market value as of March 28, 2024.",19456,45447,www.cinfin.com,F,0.95,bog standard energy,399.587,
394,Toll Brothers,TOL,Engineering & Construction,Homebuilders,yes,no,no,no,-12,no,yes,no,no,yes,no,4800,13476.5,9994.9,-2.7,1372.1,6.7,12527,Douglas C. Yearley Jr.,U.S.,Fort Washington,Pennsylvania,https://www.tollbrothers.com,Public,"Figures are for fiscal year ended Oct. 31, 2023. Market value as of March 28, 2024.",13477,45447,www.tollbrothers.com,E,0.74,bog standard energy,1370,
395,Motorola Solutions,MSI,Technology,Network and Other Communications Equipment,yes,no,no,yes,23,yes,no,no,no,no,no,21000,59141.7,9978,9.5,1709,25.4,13336,Gregory Q. Brown,U.S.,Chicago,Illinois,https://www.motorolasolutions.com,Public,"Market value as of March 28, 2024.",59142,45447,www.motorolasolutions.com,F,5.31,bog standard energy,1205,
396,Airbnb,ABNB,Technology,Internet Services and Retailing,yes,yes,no,yes,54,yes,no,no,no,yes,no,6907,106739.8,9917,18.1,4792,153.1,20645,Brian Chesky,U.S.,San Francisco,California,https://www.airbnb.com,Public,"Market value as of March 28, 2024.",106740,45447,www.airbnb.com,F,1.64,sustainable energy,94850,
397,Intercontinental Exchange,ICE,Financials,Securities,yes,yes,no,yes,4,yes,no,no,no,no,no,13222,78694.7,9903,2.8,2368,63.8,136084,Jeffrey C. Sprecher,U.S.,Atlanta,Georgia,https://www.ice.com,Public,"Market value as of March 28, 2024.",78695,45447,www.ice.com,F,1.29,sustainable energy,709.271,
398,News Corp.,NWSA,Media,"Publishing, Printing",yes,no,no,no,-17,no,yes,no,no,no,no,25000,15120.1,9879,-4.9,149,-76.1,16921,Robert J. Thomson,U.S.,New York,New York,https://www.newscorp.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",15120,45447,www.newscorp.com,F,2.83,bog standard energy,85.113,
399,Chipotle Mexican Grill,CMG,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,yes,39,yes,no,no,no,yes,no,116068,79707,9871.6,14.3,1228.7,36.7,8044.4,Scott Boatwright,U.S.,Newport Beach,California,https://www.chipotle.com,Public,"Market value as of March 28, 2024.",79707,45447,www.chipotle.com,F,5.38,bog standard energy,10250,
400,Vertex Pharmaceuticals,VRTX,Health Care,Pharmaceuticals,yes,no,yes,yes,27,yes,no,no,no,no,yes,5400,107975.3,9869.2,10.5,3619.6,9,22730.2,Reshma Kewalramani,U.S.,Boston,Massachusetts,https://www.vrtx.com,Public,"Market value as of March 28, 2024.",107975,45447,www.vrtx.com,F,1.65,bog standard energy,265.369,
401,Biogen,BIIB,Health Care,Pharmaceuticals,yes,no,no,no,-15,no,yes,no,no,no,no,7570,31344.1,9835.6,-3.3,1161.1,-61.9,26844.8,Christopher A. Viehbacher,U.S.,Cambridge,Massachusetts,https://www.biogen.com,Public,"Market value as of March 28, 2024.",31344,45447,www.biogen.com,D,0.59,sustainable energy,184.902,
402,GXO Logistics,GXO,Transportation,Transportation and Logistics,yes,no,no,no,21,yes,no,no,no,no,no,109000,6411.5,9778,8.7,229,16.2,9507,Malcolm Wilson,U.S.,Greenwich,Connecticut,https://www.gxo.com,Public,"Market value as of March 28, 2024.",6412,45447,www.gxo.com,D,0.55,bog standard energy,329.125,
403,SpartanNash,SPTN,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,no,-4,no,yes,no,no,no,no,13500,699.6,9729.2,0.9,52.2,51.3,2355.6,Tony B. Sarsam,U.S.,Grand Rapids,Michigan,https://www.spartannash.com,Public,"Market value as of March 28, 2024.",700,45447,www.spartannash.com,B,0.2,sustainable energy,79.627,
404,Burlington Stores,BURL,Retailing,Specialty Retailers: Apparel,yes,no,no,yes,30,yes,no,no,no,no,no,44050,14841.4,9727.5,11.8,339.6,47.6,7706.8,Michael B. O?Sullivan,U.S.,Burlington,New Jersey,https://www.burlingtoninvestors.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",14841,45447,www.burlingtoninvestors.com,C,0.36,sustainable energy,1486,
405,Thrivent Financial for Lutherans,,Financials,"Insurance: Life, Health (Mutual)",yes,no,yes,yes,7,yes,no,no,no,no,no,3810,,9720.3,4,347.2,-68,115628.7,Teresa J. Rasmussen,U.S.,Minneapolis,Minnesota,https://www.thrivent.com,Private,"Not a mutual company, but reports financial data according to statutory accounting.",,45447,www.thrivent.com,F,1.28,bog standard energy,1054,
406,NVR,NVR,Engineering & Construction,Homebuilders,yes,no,no,no,-30,no,yes,no,no,no,no,6300,25904.2,9687.3,-8.4,1591.6,-7.8,6601.8,Eugene J. Bredow,U.S.,Reston,Virginia,https://www.nvrinc.com,Public,"Market value as of March 28, 2024.",25904,45447,www.nvrinc.com,D,0.63,sustainable energy,130.209,
407,Owens Corning,OC,Materials,"Building Materials, Glass",yes,no,no,no,-12,no,yes,no,no,no,no,18000,14510.2,9677,-0.9,1196,-3.6,11237,Brian D. Chambers,U.S.,Toledo,Ohio,https://www.owenscorning.com,Public,"Market value as of March 28, 2024.",14510,45447,www.owenscorning.com,F,1.19,sustainable energy,721.444,
407,Westinghouse Air Brake Technologies,WAB,Industrials,Industrial Machinery,yes,no,no,yes,46,yes,no,no,no,no,no,29000,25789.6,9677,15.7,815,28.8,18988,Rafael O. Santana,U.S.,Pittsburgh,Pennsylvania,https://www.wabteccorp.com,Public,"Market value as of March 28, 2024.",25790,45447,www.wabteccorp.com,D,0.61,bog standard energy,103.233,
409,Oshkosh,OSK,Industrials,Construction and Farm Machinery,yes,no,no,yes,46,yes,no,no,no,no,no,17300,8178.1,9657.9,16.6,598,243.9,9129.2,John C. Pfeifer,U.S.,Oshkosh,Wisconsin,https://www.oshkoshcorp.com,Public,"Market value as of March 28, 2024.",8178,45447,www.oshkoshcorp.com,F,2.66,bog standard energy,52.629,
410,Global Payments,GPN,Business Services,Financial Data Services,yes,no,no,yes,15,yes,no,no,no,no,no,27000,34094.6,9654.4,7.6,986.2,784.6,50570.2,Cameron M. Bready,U.S.,Atlanta,Georgia,https://www.globalpayments.com/,Public,"Market value as of March 28, 2024.",34095,45447,www.globalpayments.com,A+,0,sustainable energy,10.103,
411,Lululemon athletica,LULU,Retailing,Specialty Retailers: Apparel,yes,no,no,yes,50,yes,no,no,no,no,no,38000,49225.1,9619.3,18.6,1550.2,81.4,7091.9,Calvin McDonald,U.S.,Sumner,Washington,https://www.lululemon.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Incorporated in the U.S. and headquartered in Vancouver, British Columbia. Market value as of March 28, 2024.",49225,45447,www.lululemon.com,F,1.53,sustainable energy,26920,
412,Albemarle,ALB,Chemicals,Chemicals,yes,no,no,yes,81,yes,no,no,no,no,no,9000,15482.7,9617.2,31.4,1573.5,-41.5,18270.7,J. Kent Masters,U.S.,Charlotte,North Carolina,https://www.albemarle.com,Public,"Market value as of March 28, 2024.",15483,45447,www.albemarle.com,C,0.45,sustainable energy,47.081,
413,JetBlue Airways,JBLU,Transportation,Airlines,no,no,yes,yes,4,yes,no,no,no,no,no,21310,2523.8,9615,5,-310,,13853,Joanna  Geraghty,U.S.,Long Island City,New York,https://www.jetblue.com,Public,"Market value as of March 28, 2024.",2524,45447,www.jetblue.com,E,0.73,sustainable energy,13510,
414,Seaboard,SEB,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,-50,no,yes,no,no,no,no,12847,3130.6,9562,-15,226,-61,7566,Robert L. Steer,U.S.,Merriam,Kansas,https://www.seaboardcorp.com,Public,"Market value as of March 28, 2024.",3131,45447,www.seaboardcorp.com,F,1.15,sustainable energy,12.332,
415,Constellation Brands,STZ,"Food, Beverages & Tobacco",Beverages,no,no,no,no,15,yes,no,no,no,no,no,9400,49683.2,9452.6,7.2,-71,,24662.3,William A. Newlands,U.S.,Victor,New York,https://www.cbrands.com,Public,"Excise taxes have been deducted. Figures are for fiscal year ended Feb. 28, 2023. Market value as of March 28, 2024.",49683,45447,www.cbrands.com,D,0.51,sustainable energy,179.074,
416,Graphic Packaging Holding,GPK,Materials,"Packaging, Containers",yes,no,no,no,-7,no,yes,no,no,yes,no,23500,8930.6,9428,-0.1,723,38.5,11175,Michael P. Doss,U.S.,Atlanta,Georgia,https://www.graphicpkg.com,Public,"Market value as of March 28, 2024.",8931,45447,www.graphicpkg.com,C,0.37,sustainable energy,86.896,
417,Hertz Global Holdings,HTZ,Retailing,"Automotive Retailing, Services",yes,no,no,yes,18,yes,no,no,no,no,no,27000,2390.5,9371,7.9,616,-70.1,24605,Gil  West,U.S.,Estero,Florida,https://www.hertz.com,Public,"Market value as of March 28, 2024.",2391,45447,www.hertz.com,F,1.75,bog standard energy,7791,
418,FM Global,,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,290,yes,no,yes,no,no,no,5667,,9359,113.1,3748.5,,34479,Malcolm C. Roberts,U.S.,Johnston,Rhode Island,https://www.fm.com/,Private,"A mutual company, not a stock company. It is grouped with stock companies because it reports according to Generally Accepted Accounting Principles.",,45447,www.fm.com,E,0.66,bog standard energy,35.319,
419,Campbell Soup,CPB,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,23,yes,no,no,no,no,no,14500,13250.7,9357,9.3,858,13.3,12058,Mark A. Clouse,U.S.,Camden,New Jersey,https://www.campbellsoupcompany.com,Public,"Figures are for fiscal year ended July 31, 2023. Market value as of March 28, 2024.",13251,45447,www.campbellsoupcompany.com,F,1.95,bog standard energy,77.291,
420,Expeditors Intl. of Washington,EXPD,Transportation,Transportation and Logistics,yes,no,no,no,-175,no,yes,no,no,no,no,18452,17248.7,9300.1,-45.5,752.9,-44.5,4523.8,Jeffrey S. Musser,U.S.,Seattle,Washington,https://www.expeditors.com,Public,"Market value as of March 28, 2024.",17249,45447,www.expeditors.com,F,1.73,sustainable energy,297.325,
421,A-Mark Precious Metals,AMRK,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,37,yes,no,no,no,no,no,421,701.4,9286.6,13.8,156.4,18,1545.6,Gregory N. Roberts,U.S.,El Segundo,California,https://www.amark.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",701,45447,www.amark.com,B,0.3,sustainable energy,24.268,
422,Booz Allen Hamilton Holding,BAH,Technology,Information Technology Services,yes,no,no,yes,30,yes,no,no,no,yes,no,31900,19259.5,9258.9,10.7,271.8,-41.8,6550.7,Horacio D. Rozanski,U.S.,McLean,Virginia,https://www.boozallen.com,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of March 28, 2024.",19260,45447,www.boozallen.com,F,4.09,sustainable energy,441.583,
423,Quest Diagnostics,DGX,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,no,-32,no,yes,no,no,yes,no,44000,14782.7,9252,-6.4,854,-9.7,14022,James E. Davis,U.S.,Secaucus,New Jersey,https://www.questdiagnostics.com,Public,"Market value as of March 28, 2024.",14783,45447,www.questdiagnostics.com,C,0.48,sustainable energy,14810,
424,Altice USA,ATUS,Telecommunications,Telecommunications,yes,no,no,no,-27,no,yes,no,no,no,no,10600,1190.5,9237.1,-4.3,53.2,-72.7,31923.6,Dennis Mathew,U.S.,Long Island City,New York,https://www.alticeusa.com,Public,"Market value as of March 28, 2024.",1191,45447,www.alticeusa.com,F,3.47,sustainable energy,1183,
425,PVH,PVH,Apparel,Apparel,yes,no,no,no,-3,no,yes,no,no,no,no,23000,8385.6,9217.7,2.1,663.6,231.1,11172.9,Stefan Larsson,U.S.,New York,New York,https://www.pvh.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",8386,45447,www.pvh.com,F,3.13,sustainable energy,486.208,
426,Eastman Chemical,EMN,Chemicals,Chemicals,yes,no,no,no,-49,no,yes,no,no,no,no,14000,11786.2,9210,-12.9,894,12.7,14633,Mark J. Costa,U.S.,Kingsport,Tennessee,https://www.eastman.com,Public,"Market value as of March 28, 2024.",11786,45447,www.eastman.com,E,0.77,bog standard energy,172.935,
427,Insight Enterprises,NSIT,Technology,Information Technology Services,yes,no,yes,yes,-48,no,yes,no,no,no,no,14437,6046.1,9175.8,-12,281.3,0.2,6286.4,Joyce A. Mullen,U.S.,Chandler,Arizona,https://www.insight.com,Public,"Market value as of March 28, 2024.",6046,45447,www.insight.com,F,0.98,sustainable energy,742.781,
428,Regions Financial,RF,Financials,Commercial Banks,yes,no,no,yes,55,yes,no,no,no,no,no,20101,19332.9,9153,21.5,2074,-7.6,152194,John M. Turner Jr.,U.S.,Birmingham,Alabama,https://www.regions.com,Public,"Market value as of March 28, 2024.",19333,45447,www.regions.com,F,1.01,bog standard energy,9672,
429,Beacon Roofing Supply,BECN,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,20,yes,no,no,no,no,no,8063,6217.6,9119.8,8.2,435,-5.1,6207.7,Julian G. Francis,U.S.,Herndon,Virginia,https://www.becn.com,Public,"Market value as of March 28, 2024.",6218,45447,www.becn.com,F,2.29,sustainable energy,246.141,
430,Rockwell Automation,ROK,Industrials,"Electronics, Electrical Equip.",yes,no,no,yes,46,yes,no,no,no,no,no,29000,33384.1,9058,16.7,1387.4,48.8,11304,Blake D. Moret,U.S.,Milwaukee,Wisconsin,https://www.rockwellautomation.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",33384,45447,www.rockwellautomation.com,F,1.6,sustainable energy,1888,
431,Polaris,PII,Transportation,Transportation Equipment,yes,no,no,yes,-7,no,yes,no,no,no,no,18500,5654.8,9014.8,0.3,502.8,12.5,5516.3,Michael T. Speetzen,U.S.,Medina,Minnesota,https://www.polaris.com,Public,"Market value as of March 28, 2024.",5655,45447,www.polaris.com,F,5.56,sustainable energy,2100,
432,ServiceNow,NOW,Technology,Computer Software,yes,no,no,yes,67,yes,no,no,no,yes,yes,22668,156292,8971,23.8,1731,432.6,17387,William R. McDermott,U.S.,Santa Clara,California,https://www.servicenow.com,Public,"Market value as of March 28, 2024.",156292,45447,www.servicenow.com,C,0.41,sustainable energy,4159,
433,Sanmina,SANM,Technology,Semiconductors and Other Electronic Components,yes,yes,no,no,38,yes,no,no,no,no,no,36000,3468.2,8935,12.8,310,28.9,4874,Jure Sola,U.S.,San Jose,California,https://www.sanmina.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",3468,45447,www.sanmina.com,F,5.53,bog standard energy,113.113,
434,UGI,UGI,Energy,Utilities: Gas and Electric,no,no,no,yes,-46,no,yes,no,no,no,no,10500,5142.4,8928,-11.7,-1502,-240,15401,Mario  Longhi,U.S.,King of Prussia,Pennsylvania,https://www.ugicorp.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",5142,45447,www.ugicorp.com,D,0.54,sustainable energy,54.152,
435,WEC Energy Group,WEC,Energy,Utilities: Gas and Electric,yes,no,no,no,-31,no,yes,no,no,no,no,7000,25935.2,8893,-7.3,1331.7,-5.4,43939.7,Scott J. Lauber,U.S.,Milwaukee,Wisconsin,https://www.wecenergygroup.com,Public,"Market value as of March 28, 2024.",25935,45447,www.wecenergygroup.com,,,,1473,
436,BrightSpring Health Services,BGST,Health Care,Health Care: Pharmacy and Other Services,no,no,no,no,0,no,no,yes,no,no,no,35000,1860.8,8826.2,14.3,-154.6,,5532.7,Jon B. Rousseau,U.S.,Louisville,Kentucky,https://www.brightspringhealth.com,Public,"Market value as of March 28, 2024.",1861,45447,www.brightspringhealth.com,F,1.03,bog standard energy,117.317,
437,Cintas,CTAS,Business Services,Diversified Outsourcing Services,yes,no,no,yes,36,yes,no,no,no,yes,no,44500,69695.1,8815.8,12.2,1348,9.1,8546.4,Todd M. Schneider,U.S.,Cincinnati,Ohio,https://www.cintas.com,Public,"Figures are for fiscal year ended May 31, 2023. Market value as of March 28, 2024.",69695,45447,www.cintas.com,F,1.01,sustainable energy,1392,
438,Commercial Metals,CMC,Materials,Metals,yes,no,no,yes,-10,no,yes,no,no,no,no,13022,6800.2,8799.5,-1.3,859.8,-29.4,6639.1,Peter R. Matt,U.S.,Irving,Texas,https://www.cmc.com,Public,"Figures are for fiscal year ended Aug. 31, 2023. Market value as of March 28, 2024.",6800,45447,www.cmc.com,F,4.35,sustainable energy,132.644,
439,Continental Resources,CLR,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-32,no,yes,no,no,no,no,1457,,8731.7,-7.8,3095.8,-23.1,22387.4,Robert D. Lawler,U.S.,Oklahoma City,Oklahoma,https://www.clr.com,Private,"Went private, Nov. 22, 2022.",22342,45447,www.clr.com,B,0.28,bog standard energy,11.029,
440,Chesapeake Energy,CHK,Energy,"Mining, Crude-Oil Production",yes,no,no,no,-90,no,yes,no,no,no,no,1000,11618.5,8721,-25.7,2419,-51,14376,Domenic J. Dell'Osso Jr.,U.S.,Oklahoma City,Oklahoma,https://www.expandenergy.com/,Public,"Market value as of March 28, 2024.",11619,45447,www.expandenergy.com,F,1.06,bog standard energy,15.751,
441,CenterPoint Energy,CNP,Energy,Utilities: Gas and Electric,yes,no,no,no,-28,no,yes,no,no,no,no,8827,18035.1,8696,-6.7,917,-13.2,39715,Jason P. Wells,U.S.,Houston,Texas,https://www.centerpointenergy.com,Public,"Market value as of March 28, 2024.",18035,45447,www.centerpointenergy.com,D,0.58,sustainable energy,2554,
442,NGL Energy Partners,NGL,Energy,Pipelines,yes,no,no,no,25,yes,no,no,no,no,no,638,763.3,8694.9,9.4,51.4,,5456.1,H. Michael Krimbill,U.S.,Tulsa,Oklahoma,https://www.nglenergypartners.com,Public,"A partnership. Figures are for fiscal year ended March 31, 2023. Market value as of March 28, 2024.",763,45447,www.nglenergypartners.com,F,0.95,sustainable energy,8.205,
443,DoorDash,DASH,Technology,Internet Services and Retailing,no,yes,no,yes,88,yes,no,yes,no,no,no,19300,55639.5,8635,31.2,-558,,10839,Tony Xu,U.S.,San Francisco,California,https://www.doordash.com/,Public,"Market value as of March 28, 2024.",55640,45447,www.doordash.com,F,1.23,sustainable energy,38.277,
444,NOV,NOV,Energy,"Oil and Gas Equipment, Services",yes,no,no,yes,57,yes,no,yes,no,no,no,33676,7690.9,8583,18.6,993,540.6,11294,Clay C. Williams,U.S.,Houston,Texas,https://www.nov.com,Public,"Market value as of March 28, 2024.",7691,45447,www.nov.com,F,2.38,sustainable energy,453.076,
445,Zoetis,ZTS,Health Care,Pharmaceuticals,yes,no,yes,yes,18,yes,no,no,no,no,no,14100,77475.7,8544,5.7,2344,10.9,14286,Kristin C. Peck,U.S.,Parsippany,New Jersey,https://www.zoetis.com,Public,"Market value as of March 28, 2024.",77476,45447,www.zoetis.com,F,4.83,sustainable energy,353.367,
446,J.M. Smucker,SJM,"Food, Beverages & Tobacco",Food Consumer Products,no,no,no,no,19,yes,no,no,no,no,no,5800,13364.3,8529.2,6.6,-91.3,-114.5,14991.4,Mark T. Smucker,U.S.,Orrville,Ohio,https://www.jmsmucker.com,Public,"Figures are for fiscal year ended April 30, 2023. Market value as of March 28, 2024.",13364,45447,www.jmsmucker.com,E,0.73,sustainable energy,54.532,
447,Microchip Technology,MCHP,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,75,yes,no,yes,no,no,no,22600,48478.2,8438.7,23.7,2237.7,74.1,16370.3,Ganesh Moorthy,U.S.,Chandler,Arizona,https://www.microchip.com,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of March 28, 2024.",48478,45447,www.microchip.com,E,0.75,sustainable energy,1754,
448,Dover,DOV,Industrials,Industrial Machinery,yes,no,no,no,-3,no,yes,no,no,no,no,25000,24341.7,8438.1,-0.8,1056.8,-0.8,11348.5,Richard J. Tobin,U.S.,Downers Grove,Illinois,https://www.dovercorporation.com,Public,"Market value as of March 28, 2024.",24342,45447,www.dovercorporation.com,F,1.42,sustainable energy,77.553,
449,Diamondback Energy,FANG,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-49,no,yes,no,no,no,no,1023,35362.8,8412,-12.8,3143,-28.3,29001,Travis D. Stice,U.S.,Midland,Texas,https://www.diamondbackenergy.com,Public,"Market value as of March 28, 2024.",35363,45447,www.diamondbackenergy.com,F,1.97,bog standard energy,15.811,
450,Avery Dennison,AVY,Materials,"Packaging, Containers",yes,no,no,no,-29,no,yes,no,no,yes,no,35000,17976.2,8364.3,-7.5,503,-33.6,8209.8,Dean M. Stander,U.S.,Mentor,Ohio,https://www.averydennison.com,Public,"Market value as of March 28, 2024.",17976,45447,www.averydennison.com,E,0.69,sustainable energy,334.014,
451,PPL,PPL,Energy,Utilities: Gas and Electric,yes,no,no,yes,19,yes,no,no,no,no,no,6629,20306.2,8312,5.2,740,-2.1,39236,Vincent Sorgi,U.S.,Allentown,Pennsylvania,https://www.pplweb.com,Public,"Market value as of March 28, 2024.",20306,45447,www.pplweb.com,B,0.25,sustainable energy,87.634,
452,ON Semiconductor,ON,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,2,yes,no,no,no,no,no,30050,31430,8253,-0.9,2183.7,14.8,13215.2,Hassane S. El-Khoury,U.S.,Scottsdale,Arizona,https://www.onsemi.com,Public,"Market value as of March 28, 2024.",31430,45447,www.onsemi.com,E,0.79,sustainable energy,762.713,
453,ARKO,ARKO,Retailing,Specialty Retailers: Other,yes,no,no,yes,7,yes,no,no,no,no,no,13481,662.2,8238.8,1.4,34.4,-52.1,3650.4,Arie Kotler,U.S.,Richmond,Virginia,https://www.arkocorp.com,Public,"Excise taxes have been deducted. Market value as of March 28, 2024.",662,45447,www.arkocorp.com,E,0.76,sustainable energy,4.266,
454,Par Pacific Holdings,PARR,Energy,Petroleum Refining,yes,no,no,yes,38,yes,no,no,no,no,no,1814,2199.2,8232,12.4,728.6,100.1,3864,William  Monteleone,U.S.,Houston,Texas,https://www.parpacific.com,Public,"Excise taxes have been deducted. Market value as of March 28, 2024.",2199,45447,www.parpacific.com,B,0.33,sustainable energy,15.273,
455,APA,APA,Energy,"Mining, Crude-Oil Production",yes,no,no,no,-114,no,yes,no,no,no,no,2271,10367.4,8192,-32.5,2855,-22.3,15244,John J. Christmann IV,U.S.,Houston,Texas,https://www.apacorp.com,Public,"Acquired Callon Petroleum (2022 rank: 864), April 1, 2024. Market value as of March 28, 2024.",10367,45447,www.apacorp.com,F,3.96,bog standard energy,21.531,
456,Equinix,EQIX,Financials,Real estate,yes,no,no,yes,41,yes,no,no,no,no,no,13151,78093.9,8188.1,12.7,969.2,37.6,32650.7,Charles J. Meyers,U.S.,Redwood City,California,https://www.equinix.com,Public,"A real estate investment trust. Market value as of March 28, 2024.",78094,45447,www.equinix.com,F,1.06,sustainable energy,976.692,
457,New York Community Bancorp,NYCB,Financials,Commercial Banks,no,no,no,yes,0,no,no,yes,no,no,no,8766,2569.3,8178,249.6,-79,-112.2,114057,Joseph M. Otting,U.S.,Hicksville,New York,https://www.flagstar.com/,Public,"Market value as of March 28, 2024.",2569,45447,www.flagstar.com,C,0.43,sustainable energy,2852,
458,Foot Locker,FL,Retailing,Specialty Retailers: Apparel,no,no,yes,no,-26,no,yes,no,no,no,no,30591,2693.1,8168,-6.7,-330,-196.5,6868,Mary N. Dillon,U.S.,New York,New York,https://www.footlocker.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",2693,45447,www.footlocker.com,,,,13520,
459,Ingredion,INGR,"Food, Beverages & Tobacco",Food Production,yes,no,no,no,9,yes,no,no,no,yes,no,11600,7665.9,8160,2.7,643,30.7,7642,James P. Zallie,U.S.,Westchester,Illinois,https://www.ingredion.com,Public,"Market value as of March 28, 2024.",7666,45447,www.ingredion.com,F,1.97,sustainable energy,167.446,
460,Newell Brands,NWL,Household Products,"Home Equipment, Furnishings",no,no,no,no,-52,no,yes,no,no,yes,no,24600,3333.7,8133,-14,-388,-297,12163,Christopher H. Peterson,U.S.,Atlanta,Georgia,https://www.newellbrands.com,Public,"Market value as of March 28, 2024.",3334,45447,www.newellbrands.com,F,2.07,sustainable energy,181.978,
461,ABM Industries,ABM,Business Services,Diversified Outsourcing Services,yes,no,no,no,14,yes,no,no,no,no,no,123000,2824.1,8096.4,3.7,251.3,9.1,4933.7,Scott B. Salmirs,U.S.,New York,New York,https://www.abm.com,Public,"Figures are for fiscal year ended Oct. 31, 2023. Market value as of March 28, 2024.",2824,45447,www.abm.com,F,1.22,sustainable energy,292.31,
462,Securian Financial Group,,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,105,yes,no,yes,no,no,no,5565,,8067,30.6,226.6,,73457.5,Christopher M. Hilger,U.S.,St. Paul,Minnesota,https://www.securian.com,Private,"Market value as of March 31, 2021.",,45447,www.securian.com,D,0.52,bog standard energy,249.16,
463,Prologis,PLD,Financials,Real estate,yes,yes,no,yes,112,yes,no,yes,no,yes,no,2574,120459.8,8023.5,34.3,3059.2,-9.1,93020.8,Hamid R. Moghadam,U.S.,San Francisco,California,https://www.prologis.com,Public,"A real estate investment trust. Market value as of March 28, 2024.",120460,45447,www.prologis.com,E,0.69,sustainable energy,148.149,
464,Blackstone,BX,Financials,Diversified Financials,yes,yes,no,yes,-20,no,yes,no,no,no,no,4735,93882.8,8022.8,-5.8,1390.9,-20.4,40287.5,Stephen A. Schwarzman,U.S.,New York,New York,https://www.blackstone.com,Public,"Market value as of March 28, 2024.",93883,45447,www.blackstone.com,F,3.52,sustainable energy,547.201,
